Card	Count	Color	CMC	Type	Mana Cost	ACC	RCC	Decks
Abrade	4	R	2	Instant	1R	N/A	N/A	Godo Helm, Grixis Consultation, Melt Banana, T&T Hulkball
Abrupt Decay	28	BG	2	Instant	BG	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Bad Farm, Blood Pod, Breakfast Hulk, Divergent Control, Doomsday Yidris, E-MAN, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Honorbru Meren, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Paradox Scepter Thrasios, Rad Farm, Razakats, SBT Grave Combos, Scepter Control, Seasons Pastigur, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk
Academy Rector	2	W	4	Creature	3W	N/A	N/A	Shuffle Hulk, T&T Hulkball
Academy Ruins	2	U	0	Land	N/A	N/A	N/A	Paradox Arcum, Teferi Chain Veil
Ad Nauseam	31	B	5	Instant	3BB	N/A	N/A	BUGR Paradox Scepter, Bad Farm, Breakfast Hulk, Breya Consultation, Buried Alive Razaketh Sidisi, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Grixis Consultation, HE-MAN, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Opus Thief, Paradox Scepter Thrasios, Rad Farm, SBT Grave Combos, Scepter Control, Seasons Pastigur, Shimmer Zur, Sidisi Ad Naus Fishbowl, Tazri Hulk, Varolz Hulk, Zuran Consultation
Adarkar Wastes	2	WU	0	Land	N/A	N/A	N/A	HE-MAN, Zuran Consultation
Aether Spellbomb	2	U	1	Artifact	1	N/A	N/A	4c Lightning Druid, Melt Banana
Aetherflux Reservoir	8	C	4	Artifact	4	N/A	N/A	Buried Alive Razaketh Sidisi, Doomsday Yidris, High Tide Jace, Kess Storm, Melt Banana, Seasons Pastigur, Shimmer Zur, Sidisi Ad Naus Fishbowl
Alms Collector	3	W	4	Creature	3W	N/A	N/A	E-MAN, Opus Thief, Scion Reanimator
Altar of Bone	1	WG	2	Sorcery	GW	N/A	N/A	5c Lightning Druid
Altar of Dementia	2	C	2	Artifact	2	N/A	N/A	Shuffle Hulk, T&T Hulkball
Altar of the Brood	1	C	1	Artifact	1	N/A	N/A	Bad Farm
Alter Reality	1	U	2	Instant	1U	N/A	N/A	Momir Hackball
Anafenza, Kin-Tree Spirit	1	W	2	Creature	WW	N/A	N/A	T&T Hulkball
Anafenza, the Foremost	2	WBG	3	Creature	WBG	N/A	N/A	Blood Pod, Meta Pod
Ancestral Statue	1	C	4	Artifact Creature	4	N/A	N/A	Harvest Animar
Ancestral Vision	2	U	0	Sorcery	0	N/A	N/A	Doomsday Yidris, Melt Banana
Ancient Animus	1	G	2	Instant	1G	N/A	N/A	Harvest Animar
Ancient Tomb	38	C	0	Land	N/A	N/A	N/A	BUGR Paradox Scepter, Bad Farm, Baral Control, Breya Consultation, Buried Alive Razaketh Sidisi, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Gitrog Dredge, Godo Helm, Grixis Consultation, Grixis Twin, High Tide Jace, Honorbru Meren, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Meta Pod, Midrange Yisan, Mimeo Reanimator Hulk, Momir Hackball, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Rashmi Control, SBT Grave Combos, Scepter Control, Shimmer Zur, Sidisi Ad Naus Fishbowl, Teferi Chain Veil, Varolz Hulk, Zuran Consultation
Ancient Ziggurat	1	C	0	Land	N/A	N/A	N/A	Harvest Animar
Angel of Glory's Rise	4	W	7	Creature	5WW	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Breakfast Hulk, Najeela Hermit Hulk
Angel's Grace	11	W	1	Instant	W	N/A	N/A	Bad Farm, Breya Consultation, Doomsday Zur, E-MAN, HE-MAN, Mad Farm, Opus Thief, Paradox Scepter Thrasios, Rad Farm, Shimmer Zur, Zuran Consultation
Anger	1	R	4	Creature	3R	N/A	N/A	5c Lightning Druid
Animar, Soul of Elements	1	URG	3	Creature	GUR	N/A	N/A	Harvest Animar
Animate Dead	17	B	2	Enchantment	1B	N/A	N/A	4c Lightning Druid, Bad Farm, Blood Pod, Buried Alive Razaketh Sidisi, Doomsday Breya, Grixis Twin, Honorbru Meren, Hulkweaver, Mad Farm, Mimeo Reanimator Hulk, Nooze Reanimator, Rad Farm, Razakats, Scion Reanimator, Sidisi Ad Naus Fishbowl, T&T Hulkball, Varolz Hulk
Anticipate	1	U	2	Instant	1U	N/A	N/A	Baral Control
Apprentice Necromancer	5	B	2	Creature	1B	N/A	N/A	Buried Alive Razaketh Sidisi, Honorbru Meren, SBT Grave Combos, Shuffle Hulk, Varolz Hulk
Arbor Elf	31	G	1	Creature	G	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Blood Pod, Edric Turns, Food Chain Prossh, Food Chain Tazri, Harvest Animar, Honorbru Meren, Hulkweaver, Meta Pod, Midrange Yisan, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Selvala Brostorm, Shuffle Hulk, T&T Hulkball, Varolz Hulk
Arcbound Ravager	1	C	2	Artifact Creature	2	N/A	N/A	Paradox Arcum
Arcum Dagsson	1	U	4	Creature	3U	N/A	N/A	Paradox Arcum
Argentum Armor	1	C	6	Artifact	6	N/A	N/A	Godo Helm
Arid Mesa	31	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Bad Farm, Blood Pod, Breya Consultation, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Food Chain Prossh, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Meta Pod, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Sisay, Scion Reanimator, Shimmer Zur, T&T Hulkball, Tazri Hulk, Zuran Consultation
Armageddon	1	W	4	Sorcery	3W	N/A	N/A	Paradox Sisay
Assassin's Trophy	19	BG	2	Instant	BG	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Bad Farm, Breakfast Hulk, Divergent Control, E-MAN, Food Chain Tazri, Gitrog Dredge, Honorbru Meren, Meta Pod, Mimeo Reanimator Hulk, Najeela Hermit Hulk, Najeela Tempo, Paradox Scepter Thrasios, Rad Farm, Razakats, Scepter Control, Seasons Pastigur, Varolz Hulk
Astral Cornucopia	1	C	0	Artifact	XXX	N/A	N/A	Sidisi Ad Naus Fishbowl
Aura of Silence	3	W	3	Enchantment	1WW	N/A	N/A	Hulkweaver, Meta Pod, Zuran Consultation
Auriok Salvagers	8	W	4	Creature	3W	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Breakfast Hulk, Breya Consultation, Doomsday Breya, Hulkweaver, Razakats, Scion Reanimator
Autumn's Veil	6	G	1	Instant	G	N/A	N/A	Breakfast Hulk, Food Chain Prossh, Gitrog Dredge, Selvala Brostorm, T&T Hulkball, Varolz Hulk
Avacyn's Pilgrim	18	WG	1	Creature	G	N/A	N/A	4c Lightning Druid, 5c Lightning Druid, Bad Farm, Blood Pod, Breakfast Hulk, Food Chain Tazri, Hulkweaver, Meta Pod, Najeela Hermit Hulk, Najeela Tempo, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Razakats, Scion Reanimator, Shuffle Hulk, T&T Hulkball, Tazri Hulk
Aven Mindcensor	13	W	3	Creature	2W	N/A	N/A	Blood Pod, Breya Consultation, E-MAN, HE-MAN, Hulkweaver, Kraum's MANly Combo, Meta Pod, Najeela Tempo, Opus Thief, Paradox Sisay, Razakats, T&T Hulkball, Zuran Consultation
Azorius Signet	4	WU	2	Artifact	2	N/A	N/A	Doomsday Zur, Opus Thief, Shimmer Zur, Zuran Consultation
Azra Oddsmaker	2	BR	3	Creature	1BR	N/A	N/A	4c Rashmi, Meta Pod
Azusa, Lost but Seeking	2	G	3	Creature	2G	N/A	N/A	Midrange Yisan, Paradox Sisay
Back to Basics	3	U	3	Enchantment	2U	N/A	N/A	Baral Control, Paradox Arcum, Teferi Chain Veil
Badlands	23	C	0	Land	N/A	N/A	N/A	4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Blood Pod, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Food Chain Prossh, Grixis Consultation, Grixis Twin, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Meta Pod, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Scion Reanimator, T&T Hulkball
Bane of Progress	3	G	6	Creature	4GG	N/A	N/A	Harvest Animar, Midrange Yisan, Mimeo Reanimator Hulk
Baral, Chief of Compliance	9	U	2	Creature	1U	N/A	N/A	Baral Control, Doomsday Yidris, Edric Turns, High Tide Jace, Jeleva Storm, Kess Storm, Opus Thief, Rashmi Control, Scepter Control
Barren Moor	2	B	0	Land	N/A	N/A	N/A	Gitrog Dredge, Seasons Pastigur
Basalt Monolith	5	C	3	Artifact	3	N/A	N/A	Buried Alive Razaketh Sidisi, Godo Helm, Paradox Arcum, Sidisi Ad Naus Fishbowl, Teferi Chain Veil
Bayou	33	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Blood Pod, Breakfast Hulk, Divergent Control, Doomsday Yidris, E-MAN, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, HE-MAN, Honorbru Meren, Hulkweaver, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Paradox Scepter Thrasios, Rad Farm, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk
Bazaar of Baghdad	3	C	0	Land	N/A	N/A	N/A	Doomsday Breya, Gitrog Dredge, Mimeo Reanimator Hulk
Beast Whisperer	1	G	4	Creature	2GG	N/A	N/A	Harvest Animar
Beast Within	6	G	3	Instant	2G	N/A	N/A	Gitrog Dredge, Midrange Yisan, Paradox Sisay, Rashmi Control, Seasons Pastigur, Selvala Brostorm
Beastcaller Savant	1	G	2	Creature	1G	N/A	N/A	Harvest Animar
Benefactor's Draught	2	G	2	Instant	1G	N/A	N/A	Midrange Yisan, Selvala Brostorm
Berserk	1	G	1	Instant	G	N/A	N/A	Selvala Brostorm
Birchlore Rangers	1	G	1	Creature	G	N/A	N/A	Momir Hackball
Birds of Paradise	37	G	1	Creature	G	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Blood Pod, Breakfast Hulk, Doomsday Yidris, E-MAN, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, HE-MAN, Harvest Animar, Honorbru Meren, Hulkweaver, Melt Banana, Meta Pod, Midrange Yisan, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Selvala Brostorm, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk
Birthing Pod	4	G	4	Artifact	3G/P	3	N/A	Blood Pod, Honorbru Meren, Meta Pod, T&T Hulkball
Blasted Landscape	1	C	0	Land	N/A	N/A	N/A	Gitrog Dredge
Blighted Bat	1	B	3	Creature	2B	N/A	N/A	SBT Grave Combos
Blind Obedience	1	W	2	Enchantment	1W	N/A	N/A	HE-MAN
Blinkmoth Nexus	1	C	0	Land	N/A	N/A	N/A	Paradox Arcum
Blisterpod	1	C	1	Creature	G	N/A	N/A	Rad Farm
Blood Artist	5	B	2	Creature	1B	N/A	N/A	Food Chain Prossh, Hulkweaver, Razakats, Shuffle Hulk, T&T Hulkball
Blood Crypt	6	C	0	Land	N/A	N/A	N/A	Food Chain Prossh, Grixis Consultation, Grixis Twin, Jeleva Storm, Mad Farm, Melt Banana
Blood Moon	3	R	3	Enchantment	2R	N/A	N/A	Blood Pod, Godo Helm, Meta Pod
Blood Pet	3	B	1	Creature	B	N/A	N/A	Buried Alive Razaketh Sidisi, Mad Farm, Sidisi Ad Naus Fishbowl
Bloodghast	1	B	2	Creature	BB	N/A	N/A	Buried Alive Razaketh Sidisi
Bloodstained Mire	46	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 4c Rashmi, 5c Lightning Druid, BUGR Paradox Scepter, Bad Farm, Blood Pod, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Food Chain Prossh, Food Chain Tazri, Gitrog Dredge, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, Honorbru Meren, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Mad Farm, Melt Banana, Meta Pod, Mimeo Reanimator Hulk, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Scepter Thrasios, Rad Farm, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, T&T Hulkball, Tazri Hulk, Varolz Hulk, Zuran Consultation
Bloodthrone Vampire	2	B	2	Creature	1B	N/A	N/A	Honorbru Meren, T&T Hulkball
Bloom Tender	12	G	2	Creature	1G	N/A	N/A	4c Rashmi, Blood Pod, Breakfast Hulk, Harvest Animar, Meta Pod, Nooze Reanimator, Paradox Scepter Thrasios, Paradox Sisay, Rad Farm, Razakats, Seasons Pastigur, Shuffle Hulk
Blooming Marsh	4	BG	0	Land	N/A	N/A	N/A	Gitrog Dredge, Honorbru Meren, SBT Grave Combos, Varolz Hulk
Blue Sun's Zenith	2	U	3	Instant	XUUU	N/A	N/A	Baral Control, High Tide Jace
Body Double	1	U	5	Creature	4U	N/A	N/A	Mimeo Reanimator Hulk
Body Snatcher	4	B	4	Creature	2BB	N/A	N/A	Honorbru Meren, Shuffle Hulk, T&T Hulkball, Varolz Hulk
Bojuka Bog	2	B	0	Land	N/A	N/A	N/A	Honorbru Meren, Seasons Pastigur
Bond Beetle	1	G	1	Creature	G	N/A	N/A	Harvest Animar
Bonus Round	1	R	3	Sorcery	1RR	N/A	N/A	Jeleva Storm
Boreal Druid	13	G	1	Creature	G	N/A	N/A	4c Lightning Druid, Edric Turns, Food Chain Prossh, Food Chain Tazri, Honorbru Meren, Midrange Yisan, Momir Hackball, Paradox Sisay, Rashmi Control, Selvala Brostorm, T&T Hulkball, Tazri Hulk, Varolz Hulk
Boseiju, Who Shelters All	4	C	0	Land	N/A	N/A	N/A	Bad Farm, Buried Alive Razaketh Sidisi, Mad Farm, Sidisi Ad Naus Fishbowl
Botanical Sanctum	3	UG	0	Land	N/A	N/A	N/A	Harvest Animar, Momir Hackball, Shuffle Hulk
Bow of Nylea	1	G	3	Enchantment Artifact	1GG	N/A	N/A	Paradox Sisay
Brainstorm	41	U	1	Instant	U	N/A	N/A	4c Rashmi, BUGR Paradox Scepter, Baral Control, Breakfast Hulk, Breya Consultation, Divergent Control, Doomsday Breya, Doomsday Yidris, Doomsday Zur, E-MAN, Food Chain Tazri, Grixis Consultation, Grixis Twin, HE-MAN, Harvest Animar, High Tide Jace, Hulkweaver, Jeleva Storm, Kess Storm, Kraum's MANly Combo, Melt Banana, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Opus Thief, Paradox Arcum, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shimmer Zur, Shuffle Hulk, Tazri Hulk, Teferi Chain Veil, Zuran Consultation
Brass Squire	1	C	3	Artifact Creature	3	N/A	N/A	Godo Helm
Breeding Pool	28	C	0	Land	N/A	N/A	N/A	4c Lightning Druid, 4c Rashmi, BUGR Paradox Scepter, Breakfast Hulk, Divergent Control, Doomsday Yidris, E-MAN, Edric Turns, Food Chain Tazri, HE-MAN, Harvest Animar, Hulkweaver, Melt Banana, Mimeo Reanimator Hulk, Momir Hackball, Najeela Hermit Hulk, Najeela Tempo, Nooze Reanimator, Paradox Scepter Thrasios, Rad Farm, Rashmi Control, Razakats, SBT Grave Combos, Scepter Control, Scion Reanimator, Seasons Pastigur, Shuffle Hulk, Tazri Hulk
Breya, Etherium Shaper	2	WUBR	4	Artifact Creature	WUBR	N/A	N/A	Breya Consultation, Doomsday Breya
Bruse Tarl, Boorish Herder	1	WR	4	Creature	2RW	N/A	N/A	Mad Farm
Brushland	2	WG	0	Land	N/A	N/A	N/A	Blood Pod, T&T Hulkball
Bubbling Muck	2	B	1	Sorcery	B	N/A	N/A	Buried Alive Razaketh Sidisi, Sidisi Ad Naus Fishbowl
Burgeoning	1	G	1	Enchantment	G	N/A	N/A	Midrange Yisan
