Card	Decks	Color	Mana Cost	ACC	RCC
Birds of Paradise	37	G	G	N/A	N/A
Dark Confidant	36	B	1B	N/A	N/A
Arbor Elf	31	G	G	N/A	N/A
Deathrite Shaman	31	BG	B/G	N/A	N/A
Fyndhorn Elves	30	G	G	N/A	N/A
Llanowar Elves	29	G	G	N/A	N/A
Elvish Mystic	27	G	G	N/A	N/A
Elves of Deep Shadow	24	BG	G	N/A	N/A
Notion Thief	22	UB	2UB	N/A	N/A
Gilded Drake	21	U	1U	N/A	N/A
Avacyn's Pilgrim	18	WG	G	N/A	N/A
Tymna the Weaver	18	WB	1WB	N/A	N/A
Laboratory Maniac	17	U	2U	N/A	N/A
Eternal Witness	15	G	1GG	N/A	N/A
Priest of Titania	15	G	1G	N/A	N/A
Noble Hierarch	15	WUG	G	N/A	N/A
Boreal Druid	13	G	G	N/A	N/A
Aven Mindcensor	13	W	2W	N/A	N/A
Thrasios, Triton Hero	13	UG	GU	N/A	N/A
Protean Hulk	12	G	5GG	N/A	N/A
Bloom Tender	12	G	1G	N/A	N/A
Jace, Vryn's Prodigy	11	U	1U	N/A	N/A
Dryad Arbor	10	G	0	N/A	N/A
Spellseeker	10	U	2U	N/A	N/A
Baral, Chief of Compliance	9	U	1U	N/A	N/A
Razaketh, the Foulblooded	9	B	5BBB	N/A	N/A
Elvish Spirit Guide	9	G	2G	N/A	N/A
Grand Abolisher	9	W	WW	N/A	N/A
Caustic Caterpillar	8	G	G	N/A	N/A
Auriok Salvagers	8	W	3W	N/A	N/A
Narcomoeba	7	U	1U	N/A	N/A
Sylvan Safekeeper	7	G	G	N/A	N/A
Walking Ballista	7		XX	N/A	N/A
Hope of Ghirapur	6		1	N/A	N/A
Riftsweeper	6	G	1G	N/A	N/A
Snapcaster Mage	6	U	1U	N/A	N/A
Leonin Relic-Warder	6	W	WW	N/A	N/A
Hermit Druid	6	G	1G	N/A	N/A
Viscera Seer	6	B	B	N/A	N/A
Runic Armasaur	6	G	1GG	N/A	N/A
Wall of Roots	6	G	1G	N/A	N/A
Yisan, the Wanderer Bard	5	G	2G	N/A	N/A
Apprentice Necromancer	5	B	1B	N/A	N/A
Blood Artist	5	B	1B	N/A	N/A
Consecrated Sphinx	5	U	4UU	N/A	N/A
Linvala, Keeper of Silence	5	W	2WW	N/A	N/A
Memnite	5		0	N/A	N/A
Reclamation Sage	5	G	2G	N/A	N/A
Quirion Ranger	5	G	G	N/A	N/A
Jin-Gitaxias, Core Augur	5	U	8UU	N/A	N/A
Cephalid Illusionist	5	U	1U	N/A	N/A
Nomads en-Kor	5	W	W	N/A	N/A
Body Snatcher	4	B	2BB	N/A	N/A
Ethersworn Canonist	4	W	1W	N/A	N/A
Vial Smasher the Fierce	4	BR	1BR	N/A	N/A
Mindblade Render	4	B	1B	N/A	N/A
Fatestitcher	4	U	3U	N/A	N/A
Seedborn Muse	4	G	3GG	N/A	N/A
Phyrexian Revoker	4		2	N/A	N/A
Eidolon of Rhetoric	4	W	2W	N/A	N/A
Magus of the Moon	4	R	2R	N/A	N/A
Phantasmal Image	4	U	1U	N/A	N/A
Angel of Glory's Rise	4	W	5WW	N/A	N/A
Simian Spirit Guide	4	R	2R	N/A	N/A
Eternal Scourge	3		3	N/A	N/A
Phyrexian Delver	3	B	3BB	N/A	N/A
Devoted Druid	3	G	1G	N/A	N/A
Elesh Norn, Grand Cenobite	3	W	5WW	N/A	N/A
Vexing Shusher	3	RG	R/GR/G	N/A	N/A
Bane of Progress	3	G	4GG	N/A	N/A
Carrion Feeder	3	B	B	N/A	N/A
Temur Sabertooth	3	G	2GG	N/A	N/A
Karmic Guide	3	W	3WW	N/A	N/A
Kess, Dissident Mage	3	UBR	1UBR	N/A	N/A
Wirewood Symbiote	3	G	G	N/A	N/A
Necrotic Ooze	3	B	2BB	N/A	N/A
Squee, the Immortal	3	R	1RR	N/A	N/A
Blood Pet	3	B	B	N/A	N/A
Children of Korlis	3	W	W	N/A	N/A
Scavenging Ooze	3	G	1G	N/A	N/A
Thalia, Guardian of Thraben	3	W	1W	N/A	N/A
Alms Collector	3	W	3W	N/A	N/A
Kiki-Jiki, Mirror Breaker	3	R	2RRR	N/A	N/A
Imperial Recruiter	3	R	2R	N/A	N/A
Zur the Enchanter	3	WUB	1WUB	N/A	N/A
Shield Sphere	3		0	N/A	N/A
Orcish Lumberjack	3	RG	R	N/A	N/A
Tana, the Bloodsower	3	RG	2RG	N/A	N/A
Serra Ascendant	3	W	W	N/A	N/A
Worldgorger Dragon	3	R	3RRR	N/A	N/A
Ornithopter	3		0	N/A	N/A
Zulaport Cutthroat	3	B	1B	N/A	N/A
Cloud of Faeries	2	U	1U	N/A	N/A
Mikaeus, the Unhallowed	2	B	3BBB	N/A	N/A
Yidris, Maelstrom Wielder	2	UBRG	UBRG	N/A	N/A
Najeela, the Blade-Blossom	2	WUBRG	2R	N/A	N/A
Kataki, War's Wage	2	W	1W	N/A	N/A
Rishkar, Peema Renegade	2	G	2G	N/A	N/A
Academy Rector	2	W	3W	N/A	N/A
Hushwing Gryff	2	W	2W	N/A	N/A
Spellskite	2	U	2	N/A	N/A
Siren Stormtamer	2	U	U	N/A	N/A
Phyrexian Walker	2		0	N/A	N/A
Halimar Excavator	2	U	1U	N/A	N/A
Dross Hopper	2	B	1B	N/A	N/A
Wood Elves	2	G	2G	N/A	N/A
Grim Flayer	2	BG	BG	N/A	N/A
Skirge Familiar	2	B	4B	N/A	N/A
Misthollow Griffin	2	U	2UU	N/A	N/A
Overeager Apprentice	2	B	2B	N/A	N/A
Village Bell-Ringer	2	W	2W	N/A	N/A
Woodland Bellower	2	G	4GG	N/A	N/A
Derevi, Empyrial Tactician	2	WUG	GWU	N/A	N/A
Azusa, Lost but Seeking	2	G	2G	N/A	N/A
Somberwald Stag	2	G	3GG	N/A	N/A
Golgari Thug	2	B	1B	N/A	N/A
Tasigur, the Golden Fang	2	UBG	5B	N/A	B
Scryb Ranger	2	G	1G	N/A	N/A
Myr Moonvessel	2		1	N/A	N/A
General Tazri	2	WUBRG	4W	N/A	N/A
Shaman en-Kor	2	W	1W	N/A	N/A
Metalworker	2		3	N/A	N/A
Manglehorn	2	G	2G	N/A	N/A
Selvala, Heart of the Wilds	2	G	1GG	N/A	N/A
Edric, Spymaster of Trest	2	UG	1GU	N/A	N/A
Wild Cantor	2	RG	R/G	N/A	N/A
Anafenza, the Foremost	2	WBG	WBG	N/A	N/A
Kalastria Healer	2	B	1B	N/A	N/A
Kraum, Ludevic's Opus	2	UR	3UR	N/A	N/A
Breya, Etherium Shaper	2	WUBR	WUBR	N/A	N/A
Azra Oddsmaker	2	BR	1BR	N/A	N/A
Bloodthrone Vampire	2	B	1B	N/A	N/A
Felidar Guardian	2	W	3W	N/A	N/A
Kozilek, Butcher of Truth	2		10	N/A	N/A
Shimmer Myr	2		3	N/A	N/A
Warrior en-Kor	2	W	WW	N/A	N/A
