Card	Decks	Type	Mana Cost
Deathrite Shaman	31	Creature	B/G
Lim-Dûl's Vault	31	Instant	UB
Abrupt Decay	28	Instant	BG
Notion Thief	22	Creature	2UB
Assassin's Trophy	19	Instant	BG
Tymna the Weaver	18	Creature	1WB
Fire Covenant	17	Instant	1BR
Thrasios, Triton Hero	13	Creature	GU
Eladamri's Call	10	Instant	GW
Life // Death	9	Sorcery	G // 1B
Vial Smasher the Fierce	4	Creature	1BR
Dack Fayden	4	Planeswalker	1UR
Kess, Dissident Mage	3	Creature	1UBR
Wear // Tear	3	Instant	1R // W
Pernicious Deed	3	Enchantment	1BG
Vexing Shusher	3	Creature	R/GR/G
Mnemonic Betrayal	3	Sorcery	1UB
Manamorphose	3	Instant	1R/G
Zur the Enchanter	3	Creature	1WUB
Izzet Charm	3	Instant	UR
Tana, the Bloodsower	3	Creature	2RG
Derevi, Empyrial Tactician	2	Creature	GWU
Breya, Etherium Shaper	2	Artifact Creature	WUBR
Yidris, Maelstrom Wielder	2	Creature	UBRG
Azra Oddsmaker	2	Creature	1BR
Grim Flayer	2	Creature	BG
Guttural Response	2	Instant	R/G
Wild Cantor	2	Creature	R/G
Edric, Spymaster of Trest	2	Creature	1GU
Anafenza, the Foremost	2	Creature	WBG
Squandered Resources	2	Enchantment	BG
Kraum, Ludevic's Opus	2	Creature	3UR
Thousand-Year Storm	1	Enchantment	4UR
Altar of Bone	1	Sorcery	GW
Sire of Insanity	1	Creature	4BR
The Gitrog Monster	1	Creature	3BG
Scion of the Ur-Dragon	1	Creature	WUBRG
Captain Sisay	1	Creature	2GW
Bruse Tarl, Boorish Herder	1	Creature	2RW
The Ur-Dragon	1	Creature	4WUBRG
Morselhoarder	1	Creature	4R/GR/G
Varolz, the Scar-Striped	1	Creature	1BG
Niv-Mizzet, Dracogenius	1	Creature	2UURR
Tishana, Voice of Thunder	1	Creature	5GU
Sliver Queen	1	Creature	WUBRG
Sidisi, Brood Tyrant	1	Creature	1BGU
Rashmi, Eternities Crafter	1	Creature	2GU
Momir Vig, Simic Visionary	1	Creature	3GU
Whispering Madness	1	Sorcery	2UB
Kiora's Follower	1	Creature	GU
Zealous Persecution	1	Instant	WB
Dimir Charm	1	Instant	UB
Animar, Soul of Elements	1	Creature	GUR
Grand Arbiter Augustin IV	1	Creature	2WU
Shadow of Doubt	1	Instant	U/BU/B
Selvala, Explorer Returned	1	Creature	1GW
Meren of Clan Nel Toth	1	Creature	2BG
Sygg, River Cutthroat	1	Creature	U/BU/B
Saffi Eriksdotter	1	Creature	GW
Murderous Redcap	1	Creature	2B/RB/R
Qasali Pridemage	1	Creature	GW
Prossh, Skyraider of Kher	1	Creature	3BRG
Ikra Shidiqi, the Usurper	1	Creature	3BG
Goblin Electromancer	1	Creature	UR
The Mimeoplasm	1	Creature	2BGU
Jeleva, Nephalia's Scourge	1	Creature	1UBR
