Card	Decks	Color	Mana Cost	ACC	RCC
Misty Rainforest	54		0	N/A	N/A
Polluted Delta	53		0	N/A	N/A
Verdant Catacombs	51		0	N/A	N/A
Command Tower	50		0	N/A	N/A
Flooded Strand	50		0	N/A	N/A
Scalding Tarn	47		0	N/A	N/A
Windswept Heath	47		0	N/A	N/A
Bloodstained Mire	46		0	N/A	N/A
Mana Confluence	46		0	N/A	N/A
Wooded Foothills	46		0	N/A	N/A
City of Brass	46		0	N/A	N/A
Marsh Flats	46		0	N/A	N/A
Ancient Tomb	38		0	N/A	N/A
Underground Sea	36		0	N/A	N/A
Bayou	33		0	N/A	N/A
Watery Grave	32		0	N/A	N/A
Arid Mesa	31		0	N/A	N/A
Forbidden Orchard	31		0	N/A	N/A
Gemstone Caverns	30		0	N/A	N/A
Tropical Island	29		0	N/A	N/A
Overgrown Tomb	28		0	N/A	N/A
Breeding Pool	28		0	N/A	N/A
Exotic Orchard	28		0	N/A	N/A
Tarnished Citadel	27		0	N/A	N/A
Scrubland	25		0	N/A	N/A
Badlands	23		0	N/A	N/A
Forest	23	G	0	N/A	N/A
Island	22	U	0	N/A	N/A
Tundra	22		0	N/A	N/A
Gaea's Cradle	21	G	0	N/A	N/A
Savannah	20		0	N/A	N/A
Volcanic Island	19		0	N/A	N/A
Swamp	19	B	0	N/A	N/A
Cavern of Souls	18		0	N/A	N/A
Morphic Pool	18	UB	0	N/A	N/A
Steam Vents	14		0	N/A	N/A
Underground River	14	UB	0	N/A	N/A
Urborg, Tomb of Yawgmoth	14		0	N/A	N/A
Yavimaya Coast	14	UG	0	N/A	N/A
Snow-Covered Island	13	U	0	N/A	N/A
Taiga	12		0	N/A	N/A
Dryad Arbor	10	G	0	N/A	N/A
Snow-Covered Forest	10	G	0	N/A	N/A
Llanowar Wastes	9	BG	0	N/A	N/A
Hallowed Fountain	9		0	N/A	N/A
Snow-Covered Swamp	8	B	0	N/A	N/A
Gemstone Mine	8		0	N/A	N/A
Godless Shrine	7		0	N/A	N/A
Phyrexian Tower	7	B	0	N/A	N/A
Stomping Ground	7		0	N/A	N/A
Plateau	6		0	N/A	N/A
Temple Garden	6		0	N/A	N/A
Cephalid Coliseum	6	U	0	N/A	N/A
Strip Mine	6		0	N/A	N/A
Blood Crypt	6		0	N/A	N/A
City of Traitors	5		0	N/A	N/A
Boseiju, Who Shelters All	4		0	N/A	N/A
Blooming Marsh	4	BG	0	N/A	N/A
Sunken Ruins	4	UB	0	N/A	N/A
Lake of the Dead	4	B	0	N/A	N/A
Plains	4	W	0	N/A	N/A
Inventors' Fair	4		0	N/A	N/A
Horizon Canopy	4	WG	0	N/A	N/A
Twilight Mire	4	BG	0	N/A	N/A
Botanical Sanctum	3	UG	0	N/A	N/A
Buried Ruin	3		0	N/A	N/A
Crystal Vein	3		0	N/A	N/A
Nykthos, Shrine to Nyx	3		0	N/A	N/A
Flooded Grove	3	UG	0	N/A	N/A
Bazaar of Baghdad	3		0	N/A	N/A
Reflecting Pool	3		0	N/A	N/A
Vault of Whispers	2	B	0	N/A	N/A
Ebon Stronghold	2	B	0	N/A	N/A
Adarkar Wastes	2	WU	0	N/A	N/A
Mouth of Ronom	2		0	N/A	N/A
Barren Moor	2	B	0	N/A	N/A
Brushland	2	WG	0	N/A	N/A
The Tabernacle at Pendrell Vale	2		0	N/A	N/A
Academy Ruins	2	U	0	N/A	N/A
Sea of Clouds	2	WU	0	N/A	N/A
Bojuka Bog	2	B	0	N/A	N/A
Yavimaya Hollow	2	G	0	N/A	N/A
Hinterland Harbor	2	UG	0	N/A	N/A
Peat Bog	2	B	0	N/A	N/A
Snow-Covered Plains	2	W	0	N/A	N/A
Mistveil Plains	1	W	0	N/A	N/A
Sequestered Stash	1		0	N/A	N/A
Shivan Reef	1	UR	0	N/A	N/A
Rishadan Port	1		0	N/A	N/A
Ancient Ziggurat	1		0	N/A	N/A
Woodland Cemetery	1	BG	0	N/A	N/A
Darksteel Citadel	1		0	N/A	N/A
Wirewood Lodge	1	G	0	N/A	N/A
Homeward Path	1		0	N/A	N/A
High Market	1		0	N/A	N/A
Tranquil Thicket	1	G	0	N/A	N/A
Pendelhaven	1	G	0	N/A	N/A
Blasted Landscape	1		0	N/A	N/A
Petrified Field	1		0	N/A	N/A
Thran Quarry	1		0	N/A	N/A
Dwarven Ruins	1	R	0	N/A	N/A
Dakmor Salvage	1	B	0	N/A	N/A
Fetid Heath	1	WB	0	N/A	N/A
Sandstone Needle	1	R	0	N/A	N/A
Mountain	1	R	0	N/A	N/A
Command Beacon	1		0	N/A	N/A
Great Furnace	1	R	0	N/A	N/A
Okina, Temple to the Grandfathers	1	G	0	N/A	N/A
Spire Garden	1	RG	0	N/A	N/A
Minamo, School at Water's Edge	1	U	0	N/A	N/A
Sacred Foundry	1		0	N/A	N/A
Blinkmoth Nexus	1		0	N/A	N/A
Flagstones of Trokair	1	W	0	N/A	N/A
Eiganjo Castle	1	W	0	N/A	N/A
Grove of the Burnwillows	1	RG	0	N/A	N/A
Graven Cairns	1	BR	0	N/A	N/A
Mishra's Workshop	1		0	N/A	N/A
Darkslick Shores	1	UB	0	N/A	N/A
Cabal Pit	1	B	0	N/A	N/A
Snow-Covered Mountain	1	R	0	N/A	N/A
Mishra's Factory	1		0	N/A	N/A
Inkmoth Nexus	1		0	N/A	N/A
Scavenger Grounds	1		0	N/A	N/A
Cascade Bluffs	1	UR	0	N/A	N/A
Luxury Suite	1	BR	0	N/A	N/A
Seat of the Synod	1	U	0	N/A	N/A
Wooded Bastion	1	WG	0	N/A	N/A
