Card	Decks	Type
Mana Crypt	59	Artifact
Sol Ring	58	Artifact
Mox Diamond	57	Artifact
Chrome Mox	57	Artifact
Mana Vault	39	Artifact
Birds of Paradise	37	Creature
Lotus Petal	35	Artifact
Deathrite Shaman	31	Creature
Fyndhorn Elves	30	Creature
Fellwar Stone	30	Artifact
Llanowar Elves	29	Creature
Grim Monolith	29	Artifact
Elvish Mystic	27	Creature
Elves of Deep Shadow	24	Creature
Lion's Eye Diamond	22	Artifact
Talisman of Dominance	21	Artifact
Avacyn's Pilgrim	18	Creature
Dimir Signet	17	Artifact
Priest of Titania	15	Creature
Noble Hierarch	15	Creature
Boreal Druid	13	Creature
Bloom Tender	12	Creature
Talisman of Progress	9	Artifact
Elvish Spirit Guide	9	Creature
Izzet Signet	8	Artifact
Simic Signet	7	Artifact
Wall of Roots	6	Creature
Strip Mine	6	Land
Talisman of Indulgence	6	Artifact
Prismatic Lens	5	Artifact
Basalt Monolith	5	Artifact
Mox Amber	5	Artifact
Mind Stone	4	Artifact
Azorius Signet	4	Artifact
Everflowing Chalice	4	Artifact
Thought Vessel	4	Artifact
Inventors' Fair	4	Land
Food Chain	4	Enchantment
Horizon Canopy	4	Land
Simian Spirit Guide	4	Creature
Buried Ruin	3	Land
Devoted Druid	3	Creature
Blood Pet	3	Creature
Orcish Lumberjack	3	Creature
Druids' Repository	2	Enchantment
Mouth of Ronom	2	Land
Academy Ruins	2	Land
Golgari Signet	2	Artifact
Skirge Familiar	2	Creature
Metalworker	2	Artifact Creature
Springleaf Drum	2	Artifact
Overeager Apprentice	2	Creature
Fractured Powerstone	2	Artifact
Serum Powder	2	Artifact
Squandered Resources	2	Enchantment
Lotus Bloom	2	Artifact
Rakdos Signet	2	Artifact
Selvala, Heart of the Wilds	2	Creature
Wild Cantor	2	Creature
Orzhov Signet	2	Artifact
Yavimaya Hollow	2	Land
Jeweled Amulet	2	Artifact
Thran Dynamo	2	Artifact
Sequestered Stash	1	Land
Somberwald Sage	1	Creature
Rishadan Port	1	Land
Krark-Clan Ironworks	1	Artifact
Treasonous Ogre	1	Creature
Petrified Field	1	Land
Hedron Crawler	1	Artifact Creature
Wirewood Lodge	1	Land
Homeward Path	1	Land
Beastcaller Savant	1	Creature
Chromatic Star	1	Artifact
Sky Diamond	1	Artifact
Leaden Myr	1	Artifact Creature
Honor-Worn Shaku	1	Artifact
Morselhoarder	1	Creature
Plague Myr	1	Artifact Creature
Heart Warden	1	Creature
Joraga Treespeaker	1	Creature
Pendelhaven	1	Land
Birchlore Rangers	1	Creature
Channeler Initiate	1	Creature
Talisman of Impulse	1	Artifact
Chromatic Sphere	1	Artifact
Worn Powerstone	1	Artifact
Okina, Temple to the Grandfathers	1	Land
Tinder Wall	1	Creature
Command Beacon	1	Land
Minamo, School at Water's Edge	1	Land
High Market	1	Land
Palladium Myr	1	Artifact Creature
Gilded Lotus	1	Artifact
Blinkmoth Nexus	1	Land
Skirk Prospector	1	Creature
Eiganjo Castle	1	Land
Guardian Idol	1	Artifact
Silver Myr	1	Artifact Creature
Manakin	1	Artifact Creature
Heritage Druid	1	Creature
Astral Cornucopia	1	Artifact
Mishra's Factory	1	Land
Inkmoth Nexus	1	Land
Scavenger Grounds	1	Land
