Card	Decks	Type
Mystic Remora	42	Enchantment
Carpet of Flowers	40	Enchantment
Sylvan Library	37	Enchantment
Dark Confidant	36	Creature
Necropotence	23	Enchantment
Tymna the Weaver	18	Creature
Wild Growth	16	Enchantment
Paradox Engine	15	Artifact
Utopia Sprawl	14	Enchantment
Rhystic Study	12	Enchantment
Protean Hulk	12	Creature
Baral, Chief of Compliance	9	Creature
Aetherflux Reservoir	8	Artifact
Narcomoeba	7	Creature
Runic Armasaur	6	Creature
Blood Artist	5	Creature
Consecrated Sphinx	5	Creature
Jin-Gitaxias, Core Augur	5	Creature
Skullclamp	5	Artifact
Cephalid Illusionist	5	Creature
Rings of Brighthearth	4	Artifact
Vial Smasher the Fierce	4	Creature
Mindblade Render	4	Creature
Inventors' Fair	4	Land
Pattern of Rebirth	4	Enchantment
Smothering Tithe	3	Enchantment
Eternal Scourge	3	Creature
Mirri's Guile	3	Enchantment
Compost	3	Enchantment
Zur the Enchanter	3	Creature
Shield Sphere	3	Artifact Creature
Nihil Spellbomb	3	Artifact
Tana, the Bloodsower	3	Creature
Zulaport Cutthroat	3	Creature
Druids' Repository	2	Enchantment
Yidris, Maelstrom Wielder	2	Creature
Najeela, the Blade-Blossom	2	Creature
Academy Rector	2	Creature
Keen Sense	2	Enchantment
Nature's Will	2	Enchantment
Grim Flayer	2	Creature
Kozilek's Return	2	Instant
Curiosity	2	Enchantment
Golgari Thug	2	Creature
Glimpse of Nature	2	Sorcery
Tangle Wire	2	Artifact
Myr Moonvessel	2	Artifact Creature
Counterbalance	2	Enchantment
Edric, Spymaster of Trest	2	Creature
Anafenza, the Foremost	2	Creature
Kraum, Ludevic's Opus	2	Creature
Waste Not	2	Enchantment
Mikaeus, the Unhallowed	2	Creature
Azra Oddsmaker	2	Creature
Kozilek, Butcher of Truth	2	Creature
Sidisi, Undead Vizier	2	Creature
Nezahal, Primal Tide	1	Creature
Myr Retriever	1	Artifact Creature
Tishana, Voice of Thunder	1	Creature
Luminarch Ascension	1	Enchantment
Argentum Armor	1	Artifact
Rashmi, Eternities Crafter	1	Creature
Mindslicer	1	Creature
Possibility Storm	1	Enchantment
Goblin Sharpshooter	1	Creature
Momir Vig, Simic Visionary	1	Creature
The Chain Veil	1	Artifact
Ikra Shidiqi, the Usurper	1	Creature
Meren of Clan Nel Toth	1	Creature
Search for Azcanta	1	Enchantment
Tendershoot Dryad	1	Creature
Gaea's Blessing	1	Sorcery
Nightveil Sprite	1	Creature
Duskwatch Recruiter	1	Creature
Thousand-Year Storm	1	Enchantment
Junk Diver	1	Artifact Creature
Contamination	1	Enchantment
Thing in the Ice	1	Creature
Chalice of the Void	1	Artifact
Slithermuse	1	Creature
Animar, Soul of Elements	1	Creature
Niv-Mizzet, Dracogenius	1	Creature
Nettle Sentinel	1	Creature
Burgeoning	1	Enchantment
Genesis Hydra	1	Creature
Oppression	1	Enchantment
Phyrexian Devourer	1	Artifact Creature
Xantid Swarm	1	Creature
Flagstones of Trokair	1	Land
Disciple of the Vault	1	Creature
The Ur-Dragon	1	Creature
Chromatic Star	1	Artifact
Blisterpod	1	Creature
Prossh, Skyraider of Kher	1	Creature
The Gitrog Monster	1	Creature
Hangarback Walker	1	Artifact Creature
Looter il-Kor	1	Creature
Stasis	1	Enchantment
Sidisi's Faithful	1	Creature
Beast Whisperer	1	Creature
Smothering Abomination	1	Creature
Helm of the Host	1	Artifact
Scrap Trawler	1	Artifact Creature
Dragon Mage	1	Creature
Sygg, River Cutthroat	1	Creature
Verity Circle	1	Enchantment
Hokori, Dust Drinker	1	Creature
Sire of Insanity	1	Creature
