Card	Decks	Type	Mana Cost
Enlightened Tutor	28	Instant	W
Silence	21	Instant	W
Swords to Plowshares	18	Instant	W
Aven Mindcensor	13	Creature	2W
Angel's Grace	11	Instant	W
Grand Abolisher	9	Creature	WW
Auriok Salvagers	8	Creature	3W
Leonin Relic-Warder	6	Creature	WW
Linvala, Keeper of Silence	5	Creature	2WW
Nomads en-Kor	5	Creature	W
Rest in Peace	4	Enchantment	1W
Eidolon of Rhetoric	4	Enchantment Creature	2W
Stony Silence	4	Enchantment	1W
Angel of Glory's Rise	4	Creature	5WW
Ethersworn Canonist	4	Artifact Creature	1W
Alms Collector	3	Creature	3W
Smothering Tithe	3	Enchantment	3W
Elesh Norn, Grand Cenobite	3	Creature	5WW
Aura of Silence	3	Enchantment	1WW
Children of Korlis	3	Creature	W
Grasp of Fate	3	Enchantment	1WW
Karmic Guide	3	Creature	3WW
Serra Ascendant	3	Creature	W
Thalia, Guardian of Thraben	3	Creature	1W
Warrior en-Kor	2	Creature	WW
Kataki, War's Wage	2	Creature	1W
Academy Rector	2	Creature	3W
Village Bell-Ringer	2	Creature	2W
Path to Exile	2	Instant	W
Shaman en-Kor	2	Creature	1W
Felidar Guardian	2	Creature	3W
Hushwing Gryff	2	Creature	2W
Rule of Law	2	Enchantment	2W
Phyrexian Unlife	1	Enchantment	2W
Anafenza, Kin-Tree Spirit	1	Creature	WW
Mother of Runes	1	Creature	W
Sun Titan	1	Creature	4WW
Pull from Eternity	1	Instant	W
Disenchant	1	Instant	1W
Ravages of War	1	Sorcery	3W
Weathered Wayfarer	1	Creature	W
Blind Obedience	1	Enchantment	1W
Humility	1	Enchantment	2WW
Mana Tithe	1	Instant	W
Fragmentize	1	Sorcery	W
Suppression Field	1	Enchantment	1W
Spirit of the Labyrinth	1	Enchantment Creature	1W
Luminarch Ascension	1	Enchantment	1W
Hokori, Dust Drinker	1	Creature	2WW
Urza's Ruinous Blast	1	Sorcery	4W
Fiend Hunter	1	Creature	1WW
Armageddon	1	Sorcery	3W
Containment Priest	1	Creature	1W
