Card	Decks	Color	Mana Cost	ACC	RCC
Mana Crypt	59		0	N/A	N/A
Sol Ring	58		1	N/A	N/A
Mox Diamond	57		0	N/A	N/A
Chrome Mox	57		0	N/A	N/A
Mana Vault	39		1	N/A	N/A
Lotus Petal	35		0	N/A	N/A
Fellwar Stone	30		2	N/A	N/A
Sensei's Divining Top	30		1	N/A	N/A
Grim Monolith	29		2	N/A	N/A
Mox Opal	25		0	N/A	N/A
Lion's Eye Diamond	22		0	N/A	N/A
Talisman of Dominance	21	UB	2	N/A	N/A
Isochron Scepter	19		2	N/A	N/A
Dimir Signet	17	UB	2	N/A	N/A
Paradox Engine	15		5	N/A	N/A
Grafdigger's Cage	10		1	N/A	N/A
Talisman of Progress	9	WU	2	N/A	N/A
Cursed Totem	8		2	N/A	N/A
Null Rod	8		2	N/A	N/A
Aetherflux Reservoir	8		4	N/A	N/A
Izzet Signet	8	UR	2	N/A	N/A
Simic Signet	7	UG	2	N/A	N/A
Walking Ballista	7		XX	N/A	N/A
Hope of Ghirapur	6		1	N/A	N/A
Helm of Awakening	6		2	N/A	N/A
Talisman of Indulgence	6	BR	2	N/A	N/A
Prismatic Lens	5		2	N/A	N/A
Memnite	5		0	N/A	N/A
Basalt Monolith	5		3	N/A	N/A
Voltaic Key	5		1	N/A	N/A
Skullclamp	5		1	N/A	N/A
Trinisphere	5		3	N/A	N/A
Mox Amber	5		0	N/A	N/A
Defense Grid	4		2	N/A	N/A
Rings of Brighthearth	4		3	N/A	N/A
Azorius Signet	4	WU	2	N/A	N/A
Everflowing Chalice	4		0	N/A	N/A
Ethersworn Canonist	4	W	1W	N/A	N/A
Thought Vessel	4		2	N/A	N/A
Scroll Rack	4		2	N/A	N/A
Birthing Pod	4	G	3G/P	3	N/A
Phyrexian Revoker	4		2	N/A	N/A
Mind Stone	4		2	N/A	N/A
Lightning Greaves	4		2	N/A	N/A
Sphere of Resistance	4		2	N/A	N/A
Shield Sphere	3		0	N/A	N/A
Nihil Spellbomb	3	B	1	N/A	N/A
Staff of Domination	3		3	N/A	N/A
Ornithopter	3		0	N/A	N/A
Sapphire Medallion	3		2	N/A	N/A
Vault of Whispers	2	B	0	N/A	N/A
Spellskite	2	U	2	N/A	N/A
Phyrexian Walker	2		0	N/A	N/A
Candelabra of Tawnos	2		1	N/A	N/A
Shuko	2		1	N/A	N/A
Serum Powder	2		3	N/A	N/A
Fractured Powerstone	2		2	N/A	N/A
Expedition Map	2		1	N/A	N/A
Metalworker	2		3	N/A	N/A
Shimmer Myr	2		3	N/A	N/A
Tangle Wire	2		3	N/A	N/A
Altar of Dementia	2		2	N/A	N/A
Memory Jar	2		5	N/A	N/A
Golgari Signet	2	BG	2	N/A	N/A
Myr Moonvessel	2		1	N/A	N/A
Umbral Mantle	2		3	N/A	N/A
Aether Spellbomb	2	U	1	N/A	N/A
Springleaf Drum	2		1	N/A	N/A
Lotus Bloom	2		0	N/A	N/A
Rakdos Signet	2	BR	2	N/A	N/A
Codex Shredder	2		1	N/A	N/A
Thorn of Amethyst	2		2	N/A	N/A
Orzhov Signet	2	WB	2	N/A	N/A
Breya, Etherium Shaper	2	WUBR	WUBR	N/A	N/A
Winter Orb	2		2	N/A	N/A
Thousand-Year Elixir	2		3	N/A	N/A
Jeweled Amulet	2		0	N/A	N/A
Jet Medallion	2		2	N/A	N/A
Thran Dynamo	2		4	N/A	N/A
The Chain Veil	1		4	N/A	N/A
Myr Retriever	1		2	N/A	N/A
Wingrattle Scarecrow	1		3	N/A	N/A
Argentum Armor	1		6	N/A	N/A
Chromatic Sphere	1		1	N/A	N/A
Krark-Clan Ironworks	1		4	N/A	N/A
Welding Jar	1		0	N/A	N/A
Pithing Needle	1		1	N/A	N/A
Darksteel Citadel	1		0	N/A	N/A
Hedron Crawler	1		2	N/A	N/A
Bow of Nylea	1	G	1GG	N/A	N/A
Sky Diamond	1	U	2	N/A	N/A
Panharmonicon	1		4	N/A	N/A
Duplicant	1		6	N/A	N/A
Leaden Myr	1	B	2	N/A	N/A
Plague Myr	1		2	N/A	N/A
Junk Diver	1		3	N/A	N/A
Wayfarer's Bauble	1		1	N/A	N/A
Chalice of the Void	1		XX	N/A	N/A
Honor-Worn Shaku	1		3	N/A	N/A
Worn Powerstone	1		3	N/A	N/A
Lupine Prototype	1		2	N/A	N/A
Ancestral Statue	1		4	N/A	N/A
Arcbound Ravager	1		2	N/A	N/A
Mishra's Bauble	1		0	N/A	N/A
Urza's Bauble	1		0	N/A	N/A
Guardian Idol	1		2	N/A	N/A
Cloudstone Curio	1		3	N/A	N/A
Silent Gravestone	1		1	N/A	N/A
Talisman of Impulse	1	RG	2	N/A	N/A
Phyrexian Soulgorger	1		3	N/A	N/A
Brass Squire	1		3	N/A	N/A
Great Furnace	1	R	0	N/A	N/A
Hammer of Nazahn	1		4	N/A	N/A
Phyrexian Devourer	1		6	N/A	N/A
Palladium Myr	1		3	N/A	N/A
Altar of the Brood	1		1	N/A	N/A
Gilded Lotus	1		5	N/A	N/A
Spine of Ish Sah	1		7	N/A	N/A
Citanul Flute	1		5	N/A	N/A
Etherium Sculptor	1	U	1U	N/A	N/A
Seat of the Synod	1	U	0	N/A	N/A
Chromatic Star	1		1	N/A	N/A
Silver Myr	1	U	2	N/A	N/A
Hangarback Walker	1		XX	N/A	N/A
Phyrexian Dreadnought	1		1	N/A	N/A
Conjurer's Bauble	1		1	N/A	N/A
Manakin	1		2	N/A	N/A
Astral Cornucopia	1		XXX	N/A	N/A
Spawning Pit	1		2	N/A	N/A
Static Orb	1		3	N/A	N/A
Helm of the Host	1		4	N/A	N/A
Scrap Trawler	1		3	N/A	N/A
Phyrexian Metamorph	1	U	3U/P	3	N/A
