Card	Decks	Type	Mana Cost
Demonic Tutor	47	Sorcery	1B
Vampiric Tutor	47	Instant	B
Imperial Seal	47	Sorcery	B
Dark Confidant	36	Creature	1B
Dark Ritual	33	Instant	B
Ad Nauseam	31	Instant	3BB
Yawgmoth's Will	24	Sorcery	2B
Toxic Deluge	24	Sorcery	2B
Necropotence	23	Enchantment	BBB
Diabolic Intent	22	Sorcery	1B
Cabal Ritual	22	Instant	1B
Entomb	21	Instant	B
Tainted Pact	17	Instant	1B
Necromancy	17	Enchantment	2B
Animate Dead	17	Enchantment	1B
Reanimate	16	Sorcery	B
Praetor's Grasp	11	Sorcery	1BB
Dance of the Dead	11	Enchantment	1B
Demonic Consultation	11	Instant	B
Cabal Therapy	10	Sorcery	B
Razaketh, the Foulblooded	9	Creature	5BBB
Grim Tutor	8	Sorcery	1BB
Thoughtseize	8	Sorcery	B
Culling the Weak	8	Instant	B
Buried Alive	7	Sorcery	2B
Rain of Filth	7	Instant	B
Dark Petition	7	Sorcery	3BB
Doomsday	6	Sorcery	BBB
Plunge into Darkness	6	Instant	1B
Viscera Seer	6	Creature	B
Dread Return	6	Sorcery	2BB
Apprentice Necromancer	5	Creature	1B
Blood Artist	5	Creature	1B
Night's Whisper	5	Sorcery	1B
Shallow Grave	5	Instant	1B
Mindblade Render	4	Creature	1B
Body Snatcher	4	Creature	2BB
Duress	4	Sorcery	B
Phyrexian Delver	3	Creature	3BB
Slaughter Pact	3	Instant	0
Blood Pet	3	Creature	B
Inquisition of Kozilek	3	Sorcery	B
Necrotic Ooze	3	Creature	2BB
Carrion Feeder	3	Creature	B
Nihil Spellbomb	3	Artifact	1
Massacre	3	Sorcery	2BB
Zulaport Cutthroat	3	Creature	1B
Postmortem Lunge	3	Sorcery	XB/P
Exhume	3	Sorcery	1B
Sickening Dreams	2	Sorcery	1B
Dross Hopper	2	Creature	1B
Skirge Familiar	2	Creature	4B
Leyline of the Void	2	Enchantment	2BB
Golgari Thug	2	Creature	1B
Chains of Mephistopheles	2	Enchantment	1B
Kalastria Healer	2	Creature	1B
Deathmark	2	Sorcery	B
Collective Brutality	2	Sorcery	1B
Waste Not	2	Enchantment	1B
Mikaeus, the Unhallowed	2	Creature	3BBB
Bloodthrone Vampire	2	Creature	1B
Bubbling Muck	2	Sorcery	B
Exsanguinate	2	Sorcery	XBB
Overeager Apprentice	2	Creature	2B
Hagra Diabolist	2	Creature	4B
Sidisi, Undead Vizier	2	Creature	3BB
Dimir Machinations	1	Sorcery	2B
Gray Merchant of Asphodel	1	Creature	3BB
Street Wraith	1	Creature	3BB
Mindslicer	1	Creature	2BB
Plaguecrafter	1	Creature	2B
Blighted Bat	1	Creature	2B
Leaden Myr	1	Artifact Creature	2
Victimize	1	Sorcery	2B
Sacrifice	1	Instant	B
Contamination	1	Enchantment	2B
Songs of the Damned	1	Instant	B
Bloodghast	1	Creature	BB
Corpse Dance	1	Instant	2B
Mausoleum Secrets	1	Instant	1B
Reassembling Skeleton	1	Creature	1B
Oppression	1	Enchantment	1BB
Goryo's Vengeance	1	Instant	1B
Footsteps of the Goryo	1	Sorcery	2B
Disciple of the Vault	1	Creature	B
Mogis's Marauder	1	Creature	2B
Putrid Imp	1	Creature	B
Fleshbag Marauder	1	Creature	2B
Oblivion Crown	1	Enchantment	1B
Darkblast	1	Instant	B
Final Parting	1	Sorcery	3BB
