Card	Decks	Type	Mana Cost
Mana Crypt	59	Artifact	0
Sol Ring	58	Artifact	1
Mox Diamond	57	Artifact	0
Chrome Mox	57	Artifact	0
Mana Vault	39	Artifact	1
Lotus Petal	35	Artifact	0
Fellwar Stone	30	Artifact	2
Sensei's Divining Top	30	Artifact	1
Grim Monolith	29	Artifact	2
Mox Opal	25	Artifact	0
Lion's Eye Diamond	22	Artifact	0
Isochron Scepter	19	Artifact	2
Paradox Engine	15	Artifact	5
Grafdigger's Cage	10	Artifact	1
Cursed Totem	8	Artifact	2
Null Rod	8	Artifact	2
Aetherflux Reservoir	8	Artifact	4
Walking Ballista	7	Artifact Creature	XX
Hope of Ghirapur	6	Artifact Creature	1
Helm of Awakening	6	Artifact	2
Prismatic Lens	5	Artifact	2
Memnite	5	Artifact Creature	0
Basalt Monolith	5	Artifact	3
Voltaic Key	5	Artifact	1
Skullclamp	5	Artifact	1
Trinisphere	5	Artifact	3
Mox Amber	5	Artifact	0
Defense Grid	4	Artifact	2
Rings of Brighthearth	4	Artifact	3
Mind Stone	4	Artifact	2
Everflowing Chalice	4	Artifact	0
Thought Vessel	4	Artifact	2
Scroll Rack	4	Artifact	2
Phyrexian Revoker	4	Artifact Creature	2
Lightning Greaves	4	Artifact	2
Sphere of Resistance	4	Artifact	2
Eternal Scourge	3	Creature	3
Shield Sphere	3	Artifact Creature	0
Staff of Domination	3	Artifact	3
Ornithopter	3	Artifact Creature	0
Sapphire Medallion	3	Artifact	2
Phyrexian Walker	2	Artifact Creature	0
Candelabra of Tawnos	2	Artifact	1
Shuko	2	Artifact	1
Serum Powder	2	Artifact	3
Kozilek's Return	2	Instant	2R
Fractured Powerstone	2	Artifact	2
Ugin, the Spirit Dragon	2	Planeswalker	8
Expedition Map	2	Artifact	1
Metalworker	2	Artifact Creature	3
Shimmer Myr	2	Artifact Creature	3
Tangle Wire	2	Artifact	3
Altar of Dementia	2	Artifact	2
Memory Jar	2	Artifact	5
Myr Moonvessel	2	Artifact Creature	1
Umbral Mantle	2	Artifact	3
Springleaf Drum	2	Artifact	1
Lotus Bloom	2	Artifact	0
Codex Shredder	2	Artifact	1
Thorn of Amethyst	2	Artifact	2
Winter Orb	2	Artifact	2
Thousand-Year Elixir	2	Artifact	3
Jeweled Amulet	2	Artifact	0
Jet Medallion	2	Artifact	2
Kozilek, Butcher of Truth	2	Creature	10
Thran Dynamo	2	Artifact	4
The Chain Veil	1	Artifact	4
Myr Retriever	1	Artifact Creature	2
Wingrattle Scarecrow	1	Artifact Creature	3
Wayfarer's Bauble	1	Artifact	1
Argentum Armor	1	Artifact	6
Phyrexian Dreadnought	1	Artifact Creature	1
Chromatic Sphere	1	Artifact	1
Krark-Clan Ironworks	1	Artifact	4
Welding Jar	1	Artifact	0
Pithing Needle	1	Artifact	1
Hedron Crawler	1	Artifact Creature	2
Panharmonicon	1	Artifact	4
Plague Myr	1	Artifact Creature	2
Junk Diver	1	Artifact Creature	3
Chalice of the Void	1	Artifact	XX
Honor-Worn Shaku	1	Artifact	3
Worn Powerstone	1	Artifact	3
Lupine Prototype	1	Artifact Creature	2
Ancestral Statue	1	Artifact Creature	4
Arcbound Ravager	1	Artifact Creature	2
Mishra's Bauble	1	Artifact	0
Urza's Bauble	1	Artifact	0
Guardian Idol	1	Artifact	2
Cloudstone Curio	1	Artifact	3
Silent Gravestone	1	Artifact	1
Thought-Knot Seer	1	Creature	3C
Phyrexian Soulgorger	1	Artifact Creature	3
Brass Squire	1	Artifact Creature	3
Hammer of Nazahn	1	Artifact	4
Phyrexian Devourer	1	Artifact Creature	6
Palladium Myr	1	Artifact Creature	3
Altar of the Brood	1	Artifact	1
Gilded Lotus	1	Artifact	5
Spine of Ish Sah	1	Artifact	7
Citanul Flute	1	Artifact	5
Chromatic Star	1	Artifact	1
Duplicant	1	Artifact Creature	6
Blisterpod	1	Creature	G
Hangarback Walker	1	Artifact Creature	XX
Conjurer's Bauble	1	Artifact	1
Manakin	1	Artifact Creature	2
Astral Cornucopia	1	Artifact	XXX
Spawning Pit	1	Artifact	2
Static Orb	1	Artifact	3
Smothering Abomination	1	Creature	2BB
Helm of the Host	1	Artifact	4
Scrap Trawler	1	Artifact Creature	3
