Card	Decks	Color	Mana Cost	ACC	RCC
Mystic Remora	42	U	U	N/A	N/A
Carpet of Flowers	40	G	G	N/A	N/A
Sylvan Library	37	G	1G	N/A	N/A
Necropotence	23	B	BBB	N/A	N/A
Survival of the Fittest	18	G	1G	N/A	N/A
Copy Artifact	18	U	1U	N/A	N/A
Animate Dead	17	B	1B	N/A	N/A
Necromancy	17	B	2B	N/A	N/A
Wild Growth	16	G	G	N/A	N/A
Utopia Sprawl	14	G	G	N/A	N/A
Rhystic Study	12	U	2U	N/A	N/A
Dance of the Dead	11	B	1B	N/A	N/A
Exploration	8	G	G	N/A	N/A
Root Maze	5	G	G	N/A	N/A
Rest in Peace	4	W	1W	N/A	N/A
Food Chain	4	G	2G	N/A	N/A
Pattern of Rebirth	4	G	3G	N/A	N/A
Stranglehold	4	R	3R	N/A	N/A
Eidolon of Rhetoric	4	W	2W	N/A	N/A
Stony Silence	4	W	1W	N/A	N/A
Compost	3	G	1G	N/A	N/A
Freed from the Real	3	U	2U	N/A	N/A
Smothering Tithe	3	W	3W	N/A	N/A
Pernicious Deed	3	BG	1BG	N/A	N/A
Aura of Silence	3	W	1WW	N/A	N/A
Grasp of Fate	3	W	1WW	N/A	N/A
Back to Basics	3	U	2U	N/A	N/A
Blood Moon	3	R	2R	N/A	N/A
Mirri's Guile	3	G	G	N/A	N/A
Earthcraft	2	G	1G	N/A	N/A
Druids' Repository	2	G	1GG	N/A	N/A
Keen Sense	2	G	G	N/A	N/A
Song of the Dryads	2	G	2G	N/A	N/A
Counterbalance	2	U	UU	N/A	N/A
Nature's Will	2	G	2GG	N/A	N/A
Concordant Crossroads	2	G	G	N/A	N/A
Goblin Bombardment	2	R	1R	N/A	N/A
Curiosity	2	U	U	N/A	N/A
Leyline of the Void	2	B	2BB	N/A	N/A
Squandered Resources	2	BG	BG	N/A	N/A
Splinter Twin	2	R	2RR	N/A	N/A
Power Artifact	2	U	UU	N/A	N/A
Waste Not	2	B	1B	N/A	N/A
Training Grounds	2	U	U	N/A	N/A
Chains of Mephistopheles	2	B	1B	N/A	N/A
Rule of Law	2	W	2W	N/A	N/A
Squirrel Nest	2	G	1GG	N/A	N/A
Burgeoning	1	G	G	N/A	N/A
Phyrexian Unlife	1	W	2W	N/A	N/A
Mass Hysteria	1	R	R	N/A	N/A
Possibility Storm	1	R	3RR	N/A	N/A
City of Solitude	1	G	2G	N/A	N/A
Oblivion Crown	1	B	1B	N/A	N/A
Oppression	1	B	1BB	N/A	N/A
Stasis	1	U	1U	N/A	N/A
Blind Obedience	1	W	1W	N/A	N/A
Need for Speed	1	R	R	N/A	N/A
Luminarch Ascension	1	W	1W	N/A	N/A
Humility	1	W	2WW	N/A	N/A
Greater Good	1	G	2GG	N/A	N/A
Contamination	1	B	2B	N/A	N/A
Thousand-Year Storm	1	UR	4UR	N/A	N/A
Lignify	1	G	1G	N/A	N/A
Suppression Field	1	W	1W	N/A	N/A
Spirit of the Labyrinth	1	W	1W	N/A	N/A
Verity Circle	1	U	2U	N/A	N/A
Search for Azcanta	1	U	1U	N/A	N/A
Purphoros, God of the Forge	1	R	3R	N/A	N/A
Intruder Alarm	1	U	2U	N/A	N/A
Bow of Nylea	1	G	1GG	N/A	N/A
