Card	Decks	Type	Mana Cost
Mystical Tutor	43	Instant	U
Mystic Remora	42	Enchantment	U
Brainstorm	41	Instant	U
Mental Misstep	41	Instant	U/P
Swan Song	40	Instant	U
Pact of Negation	37	Instant	0
Force of Will	37	Instant	3UU
Ponder	37	Sorcery	U
Flusterstorm	36	Instant	U
Chain of Vapor	35	Instant	U
Mana Drain	34	Instant	UU
Dispel	33	Instant	U
Preordain	32	Sorcery	U
Delay	31	Instant	1U
Timetwister	30	Sorcery	2U
Gitaxian Probe	28	Sorcery	U/P
Cyclonic Rift	28	Instant	1U
Windfall	25	Sorcery	2U
Dramatic Reversal	23	Instant	1U
Negate	22	Instant	1U
Spell Pierce	22	Instant	U
Gilded Drake	21	Creature	1U
Counterspell	19	Instant	UU
Copy Artifact	18	Enchantment	1U
Frantic Search	17	Instant	2U
Laboratory Maniac	17	Creature	2U
Intuition	16	Instant	2U
Impulse	15	Instant	1U
Merchant Scroll	14	Sorcery	1U
Rhystic Study	12	Enchantment	2U
Jace, Vryn's Prodigy	11	Creature	1U
Winds of Rebuke	10	Instant	1U
Spellseeker	10	Creature	2U
Flash	9	Instant	1U
Baral, Chief of Compliance	9	Creature	1U
Narcomoeba	7	Creature	1U
High Tide	7	Instant	U
Sleight of Hand	7	Sorcery	U
Opt	6	Instant	U
Snapcaster Mage	6	Creature	1U
Dig Through Time	6	Instant	6UU
Into the Roil	6	Instant	1U
Fact or Fiction	6	Instant	3U
Pongify	6	Instant	U
Consecrated Sphinx	5	Creature	4UU
Gush	5	Instant	4U
Reality Shift	5	Instant	1U
Jin-Gitaxias, Core Augur	5	Creature	8UU
Mind's Desire	5	Sorcery	4UU
Cephalid Illusionist	5	Creature	1U
Memory's Journey	5	Instant	1U
Muddle the Mixture	5	Instant	UU
Transmute Artifact	5	Sorcery	UU
Mana Leak	4	Instant	1U
Whir of Invention	4	Instant	XUUU
Fatestitcher	4	Creature	3U
Chart a Course	4	Sorcery	1U
Pull from Tomorrow	4	Instant	XUU
Snap	4	Instant	1U
Misdirection	4	Instant	3UU
Phantasmal Image	4	Creature	1U
Back to Basics	3	Enchantment	2U
Hurkyl's Recall	3	Instant	1U
Careful Study	3	Sorcery	U
Stroke of Genius	3	Instant	X2U
Freed from the Real	3	Enchantment	2U
Rapid Hybridization	3	Instant	U
Cloud of Faeries	2	Creature	1U
Spellskite	2	Artifact Creature	2
Training Grounds	2	Enchantment	U
Thirst for Knowledge	2	Instant	2U
Personal Tutor	2	Sorcery	U
Misthollow Griffin	2	Creature	2UU
Curiosity	2	Enchantment	U
Stifle	2	Instant	U
Halimar Excavator	2	Creature	1U
Time Spiral	2	Sorcery	4UU
Flash of Insight	2	Instant	X1U
Remand	2	Instant	1U
Rebuild	2	Instant	2U
Aether Spellbomb	2	Artifact	1
Deep Analysis	2	Sorcery	3U
Counterbalance	2	Enchantment	UU
Fabricate	2	Sorcery	2U
Treasure Cruise	2	Sorcery	7U
Siren Stormtamer	2	Creature	U
Enter the Infinite	2	Sorcery	8UUUU
Ancestral Vision	2	Sorcery	0
Submerge	2	Instant	4U
Stubborn Denial	2	Instant	U
Blue Sun's Zenith	2	Instant	XUUU
Obsessive Search	2	Instant	U
Power Artifact	2	Enchantment	UU
